0.0	0.12395833333333334	76	80
0.0	0.12395833333333334	72	80
0.125	0.37395833333333334	76	80
0.125	0.37395833333333334	72	80
0.375	0.49895833333333334	76	80
0.375	0.49895833333333334	72	80
0.625	0.7489583333333333	72	80
0.75	0.8739583333333333	76	80
1.0	1.2489583333333334	79	80
1.0	1.2489583333333334	71	80
1.5	1.7489583333333334	67	80
1.5	1.7489583333333334	59	80
2.0	2.2489583333333334	72	80
2.375	2.6239583333333334	67	80
2.75	2.9989583333333334	64	80
3.125	3.3739583333333334	69	80
3.375	3.6239583333333334	71	80
3.625	3.7489583333333334	70	80
3.75	3.8739583333333334	69	80
4.0	4.165625	67	80
4.166666666666667	4.332291666666666	76	80
4.333333333333333	4.498958333333333	79	80
4.5	4.748958333333333	81	80
4.75	4.873958333333333	77	80
4.875	4.998958333333333	79	80
5.125	5.373958333333333	76	80
5.375	5.498958333333333	72	80
5.5	5.623958333333333	74	80
5.625	5.748958333333333	71	80
6.0	6.248958333333333	72	80
6.375	6.623958333333333	67	80
6.75	6.998958333333333	64	80
7.125	7.373958333333333	69	80
7.375	7.623958333333333	71	80
7.625	7.748958333333333	70	80
7.75	7.873958333333333	69	80
8.0	8.165625	67	80
8.166666666666666	8.332291666666666	76	80
8.333333333333334	8.498958333333333	79	80
8.5	8.748958333333333	81	80
8.75	8.873958333333333	77	80
8.875	8.998958333333333	79	80
9.125	9.373958333333333	76	80
9.375	9.498958333333333	72	80
9.5	9.623958333333333	74	80
9.625	9.748958333333333	71	80
10.0	10.123958333333333	60	80
10.25	10.373958333333333	79	80
10.375	10.498958333333333	78	80
10.5	10.623958333333333	77	80
10.625	10.748958333333333	75	80
10.875	10.998958333333333	76	80
10.875	10.998958333333333	72	80
11.125	11.248958333333333	68	80
11.25	11.373958333333333	69	80
11.375	11.498958333333333	72	80
11.625	11.748958333333333	69	80
11.75	11.873958333333333	72	80
11.875	11.998958333333333	74	80
12.0	12.123958333333333	60	80
12.25	12.373958333333333	79	80
12.375	12.498958333333333	78	80
12.5	12.623958333333333	77	80
12.625	12.748958333333333	75	80
12.875	12.998958333333333	76	80
12.875	12.998958333333333	72	80
13.125	13.248958333333333	84	80
13.125	13.248958333333333	76	80
13.375	13.498958333333333	84	80
13.375	13.498958333333333	76	80
13.5	13.623958333333333	84	80
13.5	13.623958333333333	76	80
13.75	13.873958333333333	67	80
14.0	14.123958333333333	60	80
14.25	14.373958333333333	79	80
14.375	14.498958333333333	78	80
14.5	14.623958333333333	77	80
14.625	14.748958333333333	75	80
14.875	14.998958333333333	76	80
14.875	14.998958333333333	72	80
15.125	15.248958333333333	68	80
15.25	15.373958333333333	69	80
15.375	15.498958333333333	72	80
15.625	15.748958333333333	69	80
15.75	15.873958333333333	72	80
15.875	15.998958333333333	74	80
16.25	16.373958333333334	75	80
16.25	16.373958333333334	68	80
16.625	16.748958333333334	74	80
16.625	16.748958333333334	67	80
17.0	17.123958333333334	72	80
17.0	17.123958333333334	64	80
17.375	17.498958333333334	67	80
17.5	17.623958333333334	67	80
17.75	17.873958333333334	60	80
18.0	18.123958333333334	60	80
18.25	18.373958333333334	79	80
18.375	18.498958333333334	78	80
18.5	18.623958333333334	77	80
18.625	18.748958333333334	75	80
18.875	18.998958333333334	76	80
18.875	18.998958333333334	72	80
19.125	19.248958333333334	68	80
19.25	19.373958333333334	69	80
19.375	19.498958333333334	72	80
19.625	19.748958333333334	69	80
19.75	19.873958333333334	72	80
19.875	19.998958333333334	74	80
20.0	20.123958333333334	60	80
20.25	20.373958333333334	79	80
20.375	20.498958333333334	78	80
20.5	20.623958333333334	77	80
20.625	20.748958333333334	75	80
20.875	20.998958333333334	76	80
20.875	20.998958333333334	72	80
21.125	21.248958333333334	84	80
21.125	21.248958333333334	76	80
21.375	21.498958333333334	84	80
21.375	21.498958333333334	76	80
21.5	21.623958333333334	84	80
21.5	21.623958333333334	76	80
21.75	21.873958333333334	67	80
22.0	22.123958333333334	60	80
22.25	22.373958333333334	79	80
22.375	22.498958333333334	78	80
22.5	22.623958333333334	77	80
22.625	22.748958333333334	75	80
22.875	22.998958333333334	76	80
22.875	22.998958333333334	72	80
23.125	23.248958333333334	68	80
23.25	23.373958333333334	69	80
23.375	23.498958333333334	72	80
23.625	23.748958333333334	69	80
23.75	23.873958333333334	72	80
23.875	23.998958333333334	74	80
24.25	24.373958333333334	75	80
24.25	24.373958333333334	68	80
24.625	24.748958333333334	74	80
24.625	24.748958333333334	67	80
25.0	25.123958333333334	72	80
25.0	25.123958333333334	64	80
25.375	25.498958333333334	67	80
25.5	25.623958333333334	67	80
25.75	25.873958333333334	60	80
26.0	26.123958333333334	72	80
26.0	26.123958333333334	64	80
26.125	26.248958333333334	72	80
26.375	26.498958333333334	72	80
26.625	26.748958333333334	72	80
26.75	26.873958333333334	74	80
27.0	27.123958333333334	76	80
27.125	27.248958333333334	72	80
27.375	27.498958333333334	69	80
27.5	27.623958333333334	67	80
27.75	27.873958333333334	60	80
28.0	28.123958333333334	72	80
28.0	28.123958333333334	64	80
28.125	28.248958333333334	72	80
28.375	28.498958333333334	72	80
28.625	28.748958333333334	72	80
28.75	28.873958333333334	74	80
28.875	28.998958333333334	76	80
29.0	29.123958333333334	67	80
29.375	29.498958333333334	60	80
29.75	29.873958333333334	60	80
30.0	30.123958333333334	72	80
30.0	30.123958333333334	64	80
30.125	30.248958333333334	72	80
30.375	30.498958333333334	72	80
30.625	30.748958333333334	72	80
30.75	30.873958333333334	74	80
31.0	31.123958333333334	76	80
31.125	31.248958333333334	72	80
